ClubDimKey,ClubTeamName,Sport,CompetitionLevel,SurfaceType
105,LaurentVille Tennis Club,Tennis,Amateur,Indoor Court
106,Robinsonport TC,Tennis,Professional,Indoor Court
107,Almería Athletic,Football,Amateur,Artificial Turf
108,Zugliano United,Football,Amateur,Indoor Court
109,Caposotto Hoops,Basketball,Amateur,Wooden Floor
110,Valledoria Athletic Club,Athletics,Professional,Road
111,Lopesboeuf United,Football,Professional,Grass
112,Granvilla Academy,Tennis,Professional,Grass
113,Edwardsborough BC,Boxing,Amateur,Gym Floor
114,Mezzocammino Athletic,Football,Professional,Grass
115,Rochlitz Athletic,Football,Amateur,Artificial Turf
116,Potierboeuf Boxing Club,Boxing,Amateur,Training Mat
117,Ballshire TC,Tennis,Amateur,Hard Court
118,Ebersberg Boxing Club,Boxing,Professional,Training Mat
119,Santa Cruz de Tenerife Tennis Club,Tennis,Professional,Clay
120,Teixeiradan TC,Tennis,Amateur,Hard Court
121,Marshallport BC,Boxing,Amateur,Gym Floor
122,Badalzungen Gym,Boxing,Professional,Gym Floor
123,Osasio BC,Boxing,Professional,Gym Floor
124,Sainte Alphonse TC,Tennis,Amateur,Grass
125,Cuenca Boxing Club,Boxing,Amateur,Ring
126,Soltau TC,Tennis,Amateur,Grass
127,Granada Gym,Boxing,Amateur,Gym Floor
128,BodinVille City,Football,Professional,Artificial Turf
129,Altare Boxing Club,Boxing,Professional,Ring
130,Hubert BC,Boxing,Professional,Training Mat
131,Torricella Peligna Athletic Club,Athletics,Amateur,Track
132,Darmstadt Academy,Tennis,Amateur,Grass
133,Iserlohn BC,Basketball,Professional,Wooden Floor
134,Diepholz Boxing Club,Boxing,Amateur,Ring
135,Kehl Tennis Club,Tennis,Amateur,Clay
136,Simpsonfurt BC,Basketball,Amateur,Outdoor Court
137,Neunburg vorm Wald Boxing Club,Boxing,Amateur,Ring
138,Herzberg Academy,Tennis,Professional,Clay
139,Baleares Track Club,Athletics,Amateur,Field
140,Sainte Nicolas-la-Forêt Hoops,Basketball,Amateur,Wooden Floor
141,Altötting TC,Tennis,Amateur,Grass
142,Saint AiméeVille Athletic Club,Athletics,Amateur,Indoor Track
143,Málaga Boxing Club,Boxing,Amateur,Training Mat
144,Blanc-sur-Verdier BC,Boxing,Amateur,Training Mat
145,Port Brandon Track Club,Athletics,Professional,Track
146,San Giustino Valdarno BC,Basketball,Professional,Outdoor Court
147,Mace Gym,Boxing,Amateur,Gym Floor
148,Su Lau FC,Football,Amateur,Indoor Court
149,Lugo BC,Boxing,Amateur,Ring
150,La Coruña AC,Athletics,Amateur,Indoor Track
151,Ashleyport Rovers,Football,Amateur,Indoor Court
152,Melissachester Athletic,Football,Amateur,Grass
153,Charlieburgh Basketball Club,Basketball,Amateur,Wooden Floor
154,Bertin-sur-Mer Gym,Boxing,Amateur,Training Mat
155,Álava TC,Tennis,Amateur,Grass
156,Artern Rovers,Football,Amateur,Indoor Court
157,Pogliola Athletic Club,Athletics,Amateur,Field
158,Laurent TC,Tennis,Amateur,Indoor Court
159,Deggendorf TC,Tennis,Amateur,Hard Court
160,Girona Gym,Boxing,Amateur,Training Mat
161,Badoberan TC,Tennis,Amateur,Hard Court
162,Skinnerfort Gym,Boxing,Professional,Ring
163,Mesagne Academy,Tennis,Amateur,Grass
164,Dupuy City,Football,Professional,Grass
165,Perleberg Track Club,Athletics,Amateur,Track
166,Neunburg vorm Wald BC,Basketball,Professional,Outdoor Court
167,Ferreira-la-Forêt Athletic,Football,Amateur,Indoor Court
168,Settefrati Athletic Club,Athletics,Amateur,Road
169,Borgo Liberta' BC,Basketball,Amateur,Wooden Floor
170,Guipúzcoa Stars,Basketball,Amateur,Outdoor Court
171,Cádiz Track Club,Athletics,Amateur,Field
172,Chauveau City,Football,Amateur,Indoor Court
173,Kyritz FC,Football,Amateur,Indoor Court
174,Alicante Gym,Boxing,Amateur,Gym Floor
175,Lugo Tennis Club,Tennis,Amateur,Grass
176,Huesca Tennis Club,Tennis,Amateur,Clay
177,New Janet Tennis Club,Tennis,Professional,Hard Court
178,Lopes Track Club,Athletics,Amateur,Field
179,Sainte Lucy-la-Forêt Tennis Club,Tennis,Amateur,Clay
180,Cádiz Athletic Club,Athletics,Professional,Track
181,Griffithsfurt Boxing Club,Boxing,Amateur,Training Mat
182,Schwäbisch Gmünd Track Club,Athletics,Professional,Indoor Track
183,Cermes Basketball Club,Basketball,Amateur,Indoor Court
184,Guipúzcoa Boxing Club,Boxing,Amateur,Training Mat
185,Civitaluparella Boxing Club,Boxing,Professional,Gym Floor
186,Boucher United,Football,Amateur,Grass
187,Brand FC,Football,Professional,Grass
188,Santa Cruz de Tenerife City,Football,Amateur,Artificial Turf
189,Philippe-la-Forêt FC,Football,Amateur,Grass
190,Shanemouth TC,Tennis,Amateur,Hard Court
191,Ciudad Academy,Tennis,Amateur,Hard Court
192,Rubbiano Gym,Boxing,Amateur,Ring
193,Mallersdorf BC,Boxing,Professional,Gym Floor
194,Mallersdorf BC,Boxing,Amateur,Training Mat
195,Riou Tennis Club,Tennis,Professional,Grass
196,Petrelle FC,Football,Amateur,Grass
197,Wurzen BC,Basketball,Professional,Indoor Court
198,Roy-sur-Carpentier TC,Tennis,Professional,Clay
199,Grondin City,Football,Amateur,Artificial Turf
200,Filorsi Rovers,Football,Amateur,Indoor Court
201,Lake Francis Boxing Club,Boxing,Amateur,Training Mat
202,Stadtsteinach Athletic Club,Athletics,Professional,Track
203,Lopesdan Stars,Basketball,Amateur,Wooden Floor
204,Cáceres City,Football,Professional,Grass
205,Zaragoza BC,Basketball,Amateur,Indoor Court
206,Cantabria Track Club,Athletics,Amateur,Field
207,Lake Carole BC,Boxing,Professional,Gym Floor
208,Lugo Athletic,Football,Amateur,Grass
209,Rizzacorno Athletic Club,Athletics,Amateur,Track
210,Olivier-sur-Mer Track Club,Athletics,Amateur,Field
211,Rousseau Tennis Club,Tennis,Amateur,Grass
212,Capriglio Tennis Club,Tennis,Amateur,Hard Court
213,Alicante Athletic,Football,Professional,Indoor Court
214,Mernicco Athletic,Football,Amateur,Grass
215,Didier Stars,Basketball,Amateur,Wooden Floor
216,Vizcaya Boxing Club,Boxing,Amateur,Gym Floor
217,Geraldtown BC,Boxing,Professional,Ring
218,Córdoba Stars,Basketball,Amateur,Wooden Floor
219,Santa Cruz de Tenerife Boxing Club,Boxing,Amateur,Ring
220,Málaga TC,Tennis,Amateur,Clay
221,Navarra BC,Basketball,Amateur,Indoor Court
222,Poulain-sur-Mer AC,Athletics,Amateur,Field
223,Roding AC,Athletics,Amateur,Indoor Track
224,Fouquet-sur-Weber TC,Tennis,Professional,Hard Court
225,Cádiz Stars,Basketball,Amateur,Wooden Floor
226,Le Roux BC,Boxing,Professional,Gym Floor
227,Stade BC,Boxing,Amateur,Ring
228,Senigallia United,Football,Amateur,Artificial Turf
229,Lake Mark BC,Boxing,Professional,Ring
230,New Marianside Hoops,Basketball,Amateur,Wooden Floor
231,Brand Boxing Club,Boxing,Amateur,Ring
232,New Jessica TC,Tennis,Amateur,Indoor Court
233,Weiss Basketball Club,Basketball,Amateur,Indoor Court
234,Port Rachelview FC,Football,Professional,Artificial Turf
235,David Boxing Club,Boxing,Amateur,Training Mat
236,Reutlingen Tennis Club,Tennis,Amateur,Grass
237,Lugo BC,Boxing,Amateur,Gym Floor
238,Peronnec City,Football,Professional,Indoor Court
239,Omignano Stazione Academy,Tennis,Amateur,Indoor Court
240,Mola Di Bari United,Football,Amateur,Indoor Court
241,Cantabria Athletic Club,Athletics,Amateur,Track
242,Palmerton AC,Athletics,Amateur,Field
243,Corpo Reno Gym,Boxing,Amateur,Training Mat
244,Pamelatown Athletic Club,Athletics,Amateur,Indoor Track
245,Mombarone BC,Boxing,Professional,Ring
246,Ourense United,Football,Amateur,Grass
247,Álava AC,Athletics,Professional,Road
248,Huesca BC,Basketball,Amateur,Wooden Floor
249,Zamora Academy,Tennis,Amateur,Hard Court
250,Montecosaro Stars,Basketball,Amateur,Wooden Floor
251,Leroydan AC,Athletics,Amateur,Indoor Track
252,Lobenstein Track Club,Athletics,Amateur,Road
253,Modugno Academy,Tennis,Amateur,Grass
254,Bergerboeuf AC,Athletics,Amateur,Indoor Track
255,Balsorano Boxing Club,Boxing,Amateur,Ring
256,Tornaco FC,Football,Amateur,Artificial Turf
257,León BC,Boxing,Professional,Ring
258,Auerbach Athletic,Football,Amateur,Grass
259,Denis Track Club,Athletics,Professional,Road
260,Andreaburgh Academy,Tennis,Professional,Indoor Court
261,Guadalajara United,Football,Amateur,Indoor Court
262,Moulin-sur-Guichard Track Club,Athletics,Amateur,Track
263,Kemnath Academy,Tennis,Professional,Grass
264,Granada BC,Boxing,Amateur,Ring
265,Lübz Tennis Club,Tennis,Professional,Grass
266,Sondershausen BC,Basketball,Professional,Outdoor Court
267,East Damianshire Rovers,Football,Amateur,Indoor Court
268,West Ashley Academy,Tennis,Amateur,Grass
269,Spinete Hoops,Basketball,Amateur,Wooden Floor
270,Burgos Hoops,Basketball,Amateur,Indoor Court
271,Port Tom AC,Athletics,Amateur,Indoor Track
272,Kulmbach BC,Basketball,Amateur,Indoor Court
273,Catona Di Ascea Track Club,Athletics,Amateur,Road
274,Palencia Stars,Basketball,Amateur,Wooden Floor
275,Lake Benview Boxing Club,Boxing,Professional,Ring
276,Tarragona Boxing Club,Boxing,Amateur,Training Mat
277,Tarragona Track Club,Athletics,Amateur,Field
278,Pruvost Tennis Club,Tennis,Amateur,Indoor Court
279,Saint Astrid Stars,Basketball,Professional,Outdoor Court
280,Lake Rachelside Boxing Club,Boxing,Professional,Training Mat
281,Paradigna BC,Basketball,Amateur,Wooden Floor
282,Incisa In Val D'Arno FC,Football,Amateur,Indoor Court
283,Valladolid FC,Football,Amateur,Grass
284,Sainte Andrée-sur-Mer AC,Athletics,Amateur,Track
285,Ebersberg Hoops,Basketball,Amateur,Indoor Court
286,Ciudad Track Club,Athletics,Professional,Road
287,Port Bethberg Athletic Club,Athletics,Professional,Field
288,Navarra Boxing Club,Boxing,Amateur,Gym Floor
289,Göppingen Rovers,Football,Professional,Indoor Court
290,Cohen Gym,Boxing,Amateur,Ring
291,Poscante Boxing Club,Boxing,Professional,Gym Floor
292,Port Ianport Track Club,Athletics,Amateur,Field
293,Zaragoza Academy,Tennis,Amateur,Grass
294,Rastatt Athletic Club,Athletics,Amateur,Road
295,Mühlhausen Academy,Tennis,Amateur,Hard Court
296,Vallerano Academy,Tennis,Professional,Indoor Court
297,Worbis Track Club,Athletics,Professional,Road
298,Esino Lario Track Club,Athletics,Amateur,Track
299,Beilngries TC,Tennis,Professional,Clay
300,Barzago BC,Boxing,Amateur,Gym Floor
301,Santa Cruz de Tenerife TC,Tennis,Professional,Hard Court
302,Grimma City,Football,Professional,Artificial Turf
303,New Dianemouth BC,Boxing,Professional,Training Mat
304,Sant'Elena Tennis Club,Tennis,Amateur,Grass
305,Neuruppin TC,Tennis,Amateur,Clay
306,Zamora Tennis Club,Tennis,Amateur,Indoor Court
307,Toledo Academy,Tennis,Amateur,Clay
308,Gaudin-sur-Mer Track Club,Athletics,Amateur,Road
309,Quaranti BC,Basketball,Amateur,Wooden Floor
310,Hamelnec Gym,Boxing,Professional,Training Mat
311,Barcelona Boxing Club,Boxing,Amateur,Ring
312,Calore Hoops,Basketball,Amateur,Outdoor Court
313,Santa Paolina Athletic,Football,Amateur,Grass
314,Hünfeld Gym,Boxing,Amateur,Ring
315,Valencia United,Football,Professional,Artificial Turf
316,Robertsontown Boxing Club,Boxing,Amateur,Gym Floor
317,Tarces TC,Tennis,Amateur,Hard Court
318,Valladolid Basketball Club,Basketball,Amateur,Outdoor Court
319,Port Holly Tennis Club,Tennis,Professional,Clay
320,Málaga Hoops,Basketball,Professional,Outdoor Court
321,Sainte Margaretdan BC,Boxing,Amateur,Gym Floor
322,Vische BC,Basketball,Amateur,Outdoor Court
323,Santa Cruz de Tenerife Track Club,Athletics,Amateur,Field
324,Wetzlar Rovers,Football,Amateur,Grass
325,Navarra AC,Athletics,Professional,Road
326,Almería Athletic Club,Athletics,Professional,Indoor Track
327,Marianberg Rovers,Football,Professional,Grass
328,Santa Cruz de Tenerife Gym,Boxing,Professional,Ring
329,Guadalajara United,Football,Professional,Indoor Court
330,Guérin-la-Forêt United,Football,Amateur,Artificial Turf
331,Cascina Elisa Academy,Tennis,Amateur,Grass
332,Valdastico Athletic Club,Athletics,Amateur,Indoor Track
333,Gibsonport BC,Boxing,Professional,Training Mat
334,Geraldton Academy,Tennis,Amateur,Grass
335,Ilmenau AC,Athletics,Amateur,Field
336,Bellburgh Stars,Basketball,Amateur,Outdoor Court
337,DumontVille Athletic Club,Athletics,Amateur,Track
338,Tarragona United,Football,Professional,Artificial Turf
339,Bersenbrück Boxing Club,Boxing,Amateur,Training Mat
340,Misilmeri BC,Basketball,Amateur,Wooden Floor
341,Dupont Hoops,Basketball,Amateur,Indoor Court
342,South Timothymouth Stars,Basketball,Amateur,Outdoor Court
343,François Gym,Boxing,Amateur,Ring
344,San Benedetto City,Football,Amateur,Indoor Court
345,Koblenz Rovers,Football,Amateur,Grass
346,New Ronald Boxing Club,Boxing,Amateur,Training Mat
347,Geraldinefort Athletic Club,Athletics,Amateur,Field
348,Pocenia Tennis Club,Tennis,Amateur,Grass
349,Amberg Gym,Boxing,Amateur,Gym Floor
350,Civago AC,Athletics,Amateur,Track
351,Almería BC,Boxing,Amateur,Gym Floor
352,Marzio Hoops,Basketball,Professional,Outdoor Court
353,Almería FC,Football,Amateur,Indoor Court
354,Schongau FC,Football,Amateur,Artificial Turf
355,Grafenau City,Football,Amateur,Grass
356,Zschopau Academy,Tennis,Professional,Clay
357,Palencia Academy,Tennis,Professional,Indoor Court
358,Bremen Hoops,Basketball,Amateur,Indoor Court
359,Albacete TC,Tennis,Professional,Indoor Court
360,Perrin BC,Boxing,Amateur,Ring
361,Guyot-sur-Poulain FC,Football,Amateur,Artificial Turf
362,Adam Athletic Club,Athletics,Amateur,Track
363,Dupuis Boxing Club,Boxing,Amateur,Training Mat
364,Gerolzhofen Stars,Basketball,Amateur,Indoor Court
365,Nicola Athletic Club,Athletics,Amateur,Road
366,Lake Helenland Rovers,Football,Amateur,Grass
367,Parsberg Gym,Boxing,Professional,Ring
368,Saint Madeleine Gym,Boxing,Amateur,Gym Floor
369,New Nicholas BC,Boxing,Professional,Gym Floor
370,Hancockburgh Boxing Club,Boxing,Amateur,Ring
371,Gelnhausen Tennis Club,Tennis,Amateur,Clay
372,South Carlland Boxing Club,Boxing,Amateur,Training Mat
373,Joly-sur-Royer Hoops,Basketball,Amateur,Wooden Floor
374,Stravino AC,Athletics,Amateur,Road
375,South Carlport Gym,Boxing,Amateur,Training Mat
376,Granada Basketball Club,Basketball,Amateur,Outdoor Court
377,Jacksonhaven Academy,Tennis,Professional,Clay
378,De Oliveira Gym,Boxing,Amateur,Training Mat
379,Albo United,Football,Professional,Artificial Turf
380,Sainte Simone AC,Athletics,Professional,Track
381,Altentreptow Athletic,Football,Amateur,Indoor Court
382,South Louiseton FC,Football,Amateur,Grass
383,Thorntonfort Tennis Club,Tennis,Amateur,Grass
384,Lugo AC,Athletics,Amateur,Field
385,Vighizzolo Di Cantu' TC,Tennis,Amateur,Grass
386,South Megan BC,Basketball,Amateur,Indoor Court
387,Saint Olivier Athletic Club,Athletics,Amateur,Indoor Track
388,Joannafurt Boxing Club,Boxing,Professional,Ring
389,Petrulli Academy,Tennis,Amateur,Grass
390,Sainte Joseph-sur-Mer Track Club,Athletics,Amateur,Track
391,Navarra Hoops,Basketball,Amateur,Wooden Floor
392,Passau TC,Tennis,Amateur,Grass
393,Ourense Stars,Basketball,Professional,Indoor Court
394,New Joseph Gym,Boxing,Amateur,Training Mat
395,Grevenbroich United,Football,Amateur,Grass
396,Lleida Track Club,Athletics,Amateur,Track
397,Camo Athletic Club,Athletics,Professional,Road
398,Badalzungen Track Club,Athletics,Amateur,Track
399,South Anthony Athletic Club,Athletics,Amateur,Road
400,South Rhys BC,Boxing,Amateur,Gym Floor
401,South Bradley Athletic,Football,Amateur,Indoor Court
402,Zschopau Tennis Club,Tennis,Amateur,Indoor Court
403,Ourense Athletic Club,Athletics,Amateur,Indoor Track
404,Bourdonboeuf Gym,Boxing,Amateur,Gym Floor
405,Las Palmas TC,Tennis,Amateur,Indoor Court
406,Port Harriet Athletic Club,Athletics,Amateur,Field
407,Saint Sabine-sur-Mer Stars,Basketball,Amateur,Outdoor Court
408,Mendicino BC,Basketball,Professional,Wooden Floor
409,Arnaud Track Club,Athletics,Amateur,Indoor Track
410,Viechtach Basketball Club,Basketball,Professional,Wooden Floor
411,Gelnhausen Track Club,Athletics,Professional,Indoor Track
412,Renaud-sur-Mer AC,Athletics,Professional,Field
413,Santa Teresa Academy,Tennis,Amateur,Grass
414,Villa Bozza AC,Athletics,Amateur,Indoor Track
415,Stephaniefort FC,Football,Amateur,Indoor Court
416,Stollberg City,Football,Professional,Artificial Turf
417,Burgos City,Football,Professional,Indoor Court
418,Thomasmouth Boxing Club,Boxing,Professional,Training Mat
419,Ripabianca Tressanti Gym,Boxing,Amateur,Ring
420,Hainichen Academy,Tennis,Professional,Grass
421,MerleBourg Athletic Club,Athletics,Professional,Track
422,Sfruz BC,Basketball,Professional,Indoor Court
423,Herford Rovers,Football,Amateur,Indoor Court
424,Coste-sur-Schmitt Athletic,Football,Amateur,Indoor Court
425,PascalBourg Athletic,Football,Amateur,Artificial Turf
426,Schwandorf AC,Athletics,Amateur,Track
427,Sainte Josettenec Hoops,Basketball,Amateur,Wooden Floor
428,Wurzen Boxing Club,Boxing,Amateur,Training Mat
429,Castiglione Cosentino AC,Athletics,Amateur,Field
430,Bad Kissingen Athletic Club,Athletics,Amateur,Track
431,Baudry Academy,Tennis,Amateur,Indoor Court
432,Michellebury Hoops,Basketball,Amateur,Wooden Floor
433,Nosate Tennis Club,Tennis,Amateur,Indoor Court
434,Asturias Athletic,Football,Amateur,Grass
435,Lefortdan Athletic Club,Athletics,Professional,Track
436,Terni Athletic Club,Athletics,Amateur,Indoor Track
437,Delorme TC,Tennis,Amateur,Indoor Court
438,Elliechester AC,Athletics,Amateur,Field
439,Valencia BC,Boxing,Amateur,Training Mat
440,Chevalier-sur-Bouvet City,Football,Professional,Artificial Turf
441,West Cheryl Athletic Club,Athletics,Amateur,Indoor Track
442,Zerbst Rovers,Football,Amateur,Artificial Turf
443,Konstanz Boxing Club,Boxing,Professional,Training Mat
444,Rochlitz AC,Athletics,Amateur,Indoor Track
445,Las Palmas TC,Tennis,Professional,Clay
446,Baxterberg Track Club,Athletics,Professional,Track
447,Cuenca Rovers,Football,Amateur,Grass
448,Kamenz FC,Football,Amateur,Indoor Court
449,Santa Caterina Albanese Stars,Basketball,Amateur,Outdoor Court
450,Lleida City,Football,Professional,Indoor Court
451,Camus BC,Boxing,Professional,Ring
452,Richardsonport Academy,Tennis,Amateur,Clay
453,Stade Athletic Club,Athletics,Amateur,Road
454,Sgonico Academy,Tennis,Professional,Hard Court
455,Fernandez-sur-Aubry Hoops,Basketball,Amateur,Indoor Court
456,Sainte Yves-les-Bains Academy,Tennis,Amateur,Indoor Court
457,Ponsacco Hoops,Basketball,Amateur,Outdoor Court
458,Marie-sur-Mer Track Club,Athletics,Professional,Track
459,Sigmaringen City,Football,Amateur,Indoor Court
460,Schmölln Stars,Basketball,Amateur,Outdoor Court
461,Madrid Athletic,Football,Amateur,Indoor Court
462,Amandaport BC,Basketball,Amateur,Indoor Court
463,Euskirchen Gym,Boxing,Professional,Training Mat
464,Caredia TC,Tennis,Amateur,Indoor Court
465,Isola Del Liri Academy,Tennis,Amateur,Clay
466,CharrierVille Athletic,Football,Professional,Grass
467,Talignano TC,Tennis,Professional,Clay
468,San Dorligo Della Valle Boxing Club,Boxing,Professional,Gym Floor
469,Grantorto Basketball Club,Basketball,Amateur,Outdoor Court
470,Cameronbury AC,Athletics,Professional,Field
471,Ciudad BC,Boxing,Amateur,Gym Floor
472,Markmouth AC,Athletics,Professional,Road
473,Meganland Tennis Club,Tennis,Amateur,Indoor Court
474,Ciudad Hoops,Basketball,Amateur,Outdoor Court
475,West Darrenmouth BC,Boxing,Amateur,Gym Floor
476,Soria BC,Basketball,Amateur,Indoor Court
477,Granada Athletic Club,Athletics,Amateur,Indoor Track
478,Macenec BC,Boxing,Amateur,Training Mat
479,Huelva BC,Boxing,Amateur,Gym Floor
480,Guillou Hoops,Basketball,Amateur,Outdoor Court
481,Neubrandenburg Track Club,Athletics,Amateur,Indoor Track
482,Scotthaven Boxing Club,Boxing,Amateur,Gym Floor
483,Acuto United,Football,Amateur,Grass
484,Port Beverleyville BC,Boxing,Professional,Gym Floor
485,Uelzen Track Club,Athletics,Amateur,Field
486,New Elainefort Gym,Boxing,Amateur,Gym Floor
487,GalletBourg Basketball Club,Basketball,Amateur,Wooden Floor
488,Saint Matthieu Academy,Tennis,Professional,Grass
489,Deanmouth Academy,Tennis,Amateur,Indoor Court
490,Pontevedra Track Club,Athletics,Amateur,Road
491,Parchim Basketball Club,Basketball,Amateur,Wooden Floor
492,Morcone Track Club,Athletics,Amateur,Track
493,Pages-sur-Mer United,Football,Amateur,Artificial Turf
494,Ávila City,Football,Amateur,Grass
495,West Anthonyberg Tennis Club,Tennis,Professional,Grass
496,Pottier BC,Basketball,Amateur,Indoor Court
497,Ovaro Stars,Basketball,Professional,Indoor Court
498,Wolfenbüttel Track Club,Athletics,Amateur,Track
499,Segovia Hoops,Basketball,Amateur,Wooden Floor
500,Feuchtwangen FC,Football,Amateur,Artificial Turf
501,Schmölln Athletic Club,Athletics,Professional,Road
502,Schleiz Academy,Tennis,Amateur,Grass
503,Diano San Pietro Athletic Club,Athletics,Amateur,Field
504,Howardborough Athletic,Football,Professional,Grass
505,Pirmasens United,Football,Amateur,Indoor Court
506,North Joshton Boxing Club,Boxing,Amateur,Training Mat
507,South Bethany FC,Football,Amateur,Indoor Court
508,Battifolle FC,Football,Professional,Indoor Court
509,Uffenheim Track Club,Athletics,Amateur,Track
510,Huelva Gym,Boxing,Amateur,Gym Floor
