LocationDimKey,Country,Latitude,Longitude,Region
144,Netherlands,51.941,5.1509,Western Europe
145,Germany,50.9265,10.8863,Central Europe
146,Czech Republic,49.9592,15.4636,Central Europe
147,Sweden,59.6346,18.281,Northern Europe
148,Germany,50.6723,10.5031,Central Europe
149,Spain,40.1556,-3.7227,Southern Europe
150,Sweden,59.6599,18.5488,Northern Europe
151,Spain,40.1751,-3.3811,Southern Europe
152,Portugal,39.0441,-7.9038,Southern Europe
153,Netherlands,51.6863,5.2284,Western Europe
154,Belgium,50.4357,4.6496,Western Europe
155,Netherlands,51.9933,4.8828,Western Europe
156,France,46.0815,1.8068,Western Europe
157,United Kingdom,55.1792,-3.4429,Western Europe
158,Italy,41.6766,13.0162,Southern Europe
159,Italy,42.3365,13.0361,Southern Europe
160,Italy,42.0536,12.6175,Southern Europe
161,Czech Republic,49.7406,15.35,Central Europe
162,Netherlands,51.7989,5.404,Western Europe
163,Belgium,50.467,4.6495,Western Europe
164,Austria,47.8005,14.5712,Central Europe
165,Poland,52.2195,19.575,Central Europe
166,Poland,51.8515,18.6743,Central Europe
167,Spain,40.4213,-3.9868,Southern Europe
168,Sweden,59.9256,18.758,Northern Europe
169,Portugal,39.2836,-8.5387,Southern Europe
170,Norway,60.3559,8.5305,Northern Europe
171,Switzerland,46.6069,8.5082,Central Europe
172,Czech Republic,50.1476,15.7243,Central Europe
173,Italy,42.1567,12.8809,Southern Europe
174,Denmark,55.8232,9.2791,Northern Europe
175,Belgium,50.4559,4.6035,Western Europe
176,Belgium,50.2217,4.3995,Western Europe
177,Poland,52.2033,19.1047,Central Europe
178,Netherlands,51.883,5.1631,Western Europe
179,Portugal,39.1261,-8.0445,Southern Europe
180,Denmark,56.0632,9.3845,Northern Europe
181,Poland,51.8618,18.8623,Central Europe
182,Portugal,39.4999,-8.1169,Southern Europe
183,Austria,47.6543,14.1211,Central Europe
184,Germany,50.9279,9.9913,Central Europe
185,United Kingdom,54.9571,-3.0151,Western Europe
186,Austria,47.6285,14.1051,Central Europe
187,Czech Republic,50.2039,15.7444,Central Europe
188,Norway,60.5389,8.3366,Northern Europe
189,Belgium,50.9241,4.1489,Western Europe
190,Sweden,60.144,18.1894,Northern Europe
191,Czech Republic,49.9402,15.4369,Central Europe
192,Denmark,55.7735,9.3368,Northern Europe
193,Denmark,56.6094,9.4149,Northern Europe
194,United Kingdom,55.729,-3.01,Western Europe
195,Netherlands,52.0391,5.3272,Western Europe
196,Spain,40.9321,-3.853,Southern Europe
197,Germany,50.7274,10.7325,Central Europe
198,Sweden,59.757,19.0486,Northern Europe
199,Italy,41.7258,12.9757,Southern Europe
200,Belgium,50.1411,4.1694,Western Europe
201,Italy,41.398,12.6645,Southern Europe
202,Norway,60.7632,8.706,Northern Europe
203,Italy,41.935,12.2556,Southern Europe
204,Denmark,56.378,9.8082,Northern Europe
205,Netherlands,51.9344,4.9278,Western Europe
206,Czech Republic,50.006,15.1003,Central Europe
207,Netherlands,52.3779,5.0293,Western Europe
208,Sweden,59.7362,18.1448,Northern Europe
209,Sweden,60.3154,18.3062,Northern Europe
210,Portugal,39.7931,-8.02,Southern Europe
211,United Kingdom,55.1156,-3.8864,Western Europe
212,Poland,51.7112,18.727,Central Europe
213,Germany,50.929,10.4166,Central Europe
214,Belgium,50.9695,4.657,Western Europe
215,Spain,40.7722,-4.123,Southern Europe
216,Austria,47.9334,14.0625,Central Europe
217,Poland,51.905,19.2541,Central Europe
218,Netherlands,52.45,5.0944,Western Europe
219,Spain,40.8771,-3.842,Southern Europe
220,Denmark,56.5968,9.8388,Northern Europe
221,Austria,47.6102,14.2277,Central Europe
222,Sweden,60.5931,19.0006,Northern Europe
223,Spain,40.2161,-3.4441,Southern Europe
224,Germany,51.1772,10.6139,Central Europe
225,Poland,52.1305,19.5375,Central Europe
226,United Kingdom,55.1375,-3.5174,Western Europe
227,Denmark,56.3221,9.2956,Northern Europe
228,Belgium,50.792,4.3012,Western Europe
229,Switzerland,46.6166,7.7816,Central Europe
230,Netherlands,52.2671,4.796,Western Europe
231,Belgium,50.0086,4.5037,Western Europe
232,France,46.1112,2.3024,Western Europe
233,Netherlands,52.3827,4.9562,Western Europe
234,United Kingdom,55.6493,-3.3129,Western Europe
235,Italy,41.5774,12.7531,Southern Europe
236,Portugal,39.0176,-8.6105,Southern Europe
237,Denmark,56.2446,9.2363,Northern Europe
238,Austria,48.0049,14.3461,Central Europe
239,Norway,60.1104,8.6161,Northern Europe
240,Czech Republic,50.1682,15.7729,Central Europe
241,Belgium,50.7831,4.5813,Western Europe
242,Switzerland,46.8413,8.4281,Central Europe
243,France,46.479,2.0343,Western Europe
244,Austria,47.3323,15.0308,Central Europe
245,Austria,47.9666,14.4134,Central Europe
246,Netherlands,52.4625,5.7557,Western Europe
247,Denmark,56.6161,9.2174,Northern Europe
248,Switzerland,47.0544,8.2807,Central Europe
249,Belgium,50.9834,4.8858,Western Europe
250,Portugal,39.6143,-8.0379,Southern Europe
251,Denmark,56.6053,9.2877,Northern Europe
252,Italy,42.2113,12.758,Southern Europe
253,Germany,51.5922,10.3391,Central Europe
254,Poland,51.4939,19.6076,Central Europe
255,Denmark,55.9187,9.1555,Northern Europe
256,Italy,41.8925,12.8537,Southern Europe
257,Switzerland,46.7931,8.2888,Central Europe
258,United Kingdom,54.9028,-3.4191,Western Europe
259,Spain,40.634,-3.4756,Southern Europe
260,France,45.7819,2.5079,Western Europe
261,France,46.2624,2.3551,Western Europe
262,Belgium,50.826,4.0007,Western Europe
263,Germany,51.2384,10.3456,Central Europe
264,Spain,40.0783,-3.5782,Southern Europe
265,Italy,42.0432,12.3019,Southern Europe
266,Italy,41.3767,12.3136,Southern Europe
267,Portugal,38.9819,-8.4439,Southern Europe
268,Denmark,55.8006,9.2624,Northern Europe
269,Switzerland,46.3288,7.9664,Central Europe
270,Spain,40.7252,-4.0175,Southern Europe
271,Switzerland,46.9518,8.001,Central Europe
272,Netherlands,52.4498,5.1363,Western Europe
273,Portugal,39.6172,-8.6062,Southern Europe
274,Portugal,39.4922,-8.5898,Southern Europe
275,Austria,47.6227,14.5215,Central Europe
276,Portugal,38.9687,-8.3463,Southern Europe
277,Poland,51.5497,19.2486,Central Europe
278,Sweden,60.3696,18.905,Northern Europe
279,Czech Republic,50.1069,15.551,Central Europe
280,Belgium,50.5686,4.5818,Western Europe
281,Czech Republic,49.4556,15.8368,Central Europe
282,Poland,51.4247,18.7362,Central Europe
283,Switzerland,46.6047,8.691,Central Europe
284,Poland,51.4555,18.8844,Central Europe
285,Czech Republic,50.1473,15.888,Central Europe
286,Switzerland,46.6125,8.6745,Central Europe
287,Austria,47.1325,14.1177,Central Europe
288,Czech Republic,50.1386,15.049,Central Europe
289,Norway,60.2374,8.1981,Northern Europe
290,Portugal,39.2153,-7.8264,Southern Europe
291,Germany,51.1682,10.3452,Central Europe
292,Netherlands,51.9942,5.6531,Western Europe
293,United Kingdom,55.3288,-3.3646,Western Europe
294,Belgium,50.5035,4.9655,Western Europe
295,Norway,60.2263,8.8079,Northern Europe
296,Netherlands,52.3058,5.2788,Western Europe
297,Italy,41.7155,12.3809,Southern Europe
298,Czech Republic,49.5521,15.2246,Central Europe
299,France,45.9901,1.869,Western Europe
300,Austria,47.9912,14.5907,Central Europe
301,Switzerland,46.5453,7.8171,Central Europe
302,Sweden,60.1053,18.1526,Northern Europe
303,Poland,51.8091,19.0235,Central Europe
304,United Kingdom,54.9885,-3.4807,Western Europe
305,Czech Republic,49.7559,14.9812,Central Europe
306,United Kingdom,55.6538,-3.8646,Western Europe
307,Germany,50.8649,10.6868,Central Europe
308,Spain,40.3241,-4.1971,Southern Europe
309,Portugal,39.6834,-8.2492,Southern Europe
310,Italy,42.0732,12.8589,Southern Europe
311,Czech Republic,49.755,15.2677,Central Europe
312,Norway,60.2353,8.336,Northern Europe
313,Poland,51.9169,19.1966,Central Europe
314,Austria,47.2078,14.0819,Central Europe
315,Sweden,60.2671,18.5044,Northern Europe
316,France,46.4528,2.2454,Western Europe
317,Czech Republic,49.9827,15.8558,Central Europe
318,Sweden,60.2614,18.9697,Northern Europe
319,Czech Republic,49.3522,15.2575,Central Europe
320,Switzerland,46.8889,8.2991,Central Europe
321,Portugal,39.8178,-7.9902,Southern Europe
322,Denmark,56.5348,9.3497,Northern Europe
323,Portugal,39.0495,-8.2221,Southern Europe
324,Italy,41.7081,12.5433,Southern Europe
325,Poland,51.9907,19.2063,Central Europe
326,Netherlands,51.9771,5.4467,Western Europe
327,Germany,50.9087,10.5725,Central Europe
328,Switzerland,47.0686,8.2763,Central Europe
329,Poland,52.3646,18.7117,Central Europe
330,Norway,60.5691,8.0569,Northern Europe
331,Poland,51.7713,19.2703,Central Europe
332,France,46.4575,2.2344,Western Europe
333,Italy,41.9529,12.7514,Southern Europe
334,Norway,60.8516,8.696,Northern Europe
335,Portugal,39.1308,-8.4923,Southern Europe
336,Italy,41.5357,12.2937,Southern Europe
337,Norway,60.4295,8.2157,Northern Europe
338,Switzerland,46.8561,8.7113,Central Europe
339,Portugal,39.8189,-8.0345,Southern Europe
340,Italy,41.8256,12.964,Southern Europe
341,Belgium,50.7308,4.9451,Western Europe
342,United Kingdom,55.6083,-2.975,Western Europe
343,Portugal,39.7826,-8.4866,Southern Europe
344,Netherlands,51.6693,5.6451,Western Europe
345,Portugal,39.2601,-8.6887,Southern Europe
346,Belgium,50.5285,4.6657,Western Europe
347,Portugal,39.8949,-8.3706,Southern Europe
348,Poland,52.2161,19.3826,Central Europe
349,United Kingdom,55.1784,-3.386,Western Europe
350,Italy,41.8534,12.6946,Southern Europe
351,Italy,41.6524,12.0986,Southern Europe
352,France,46.2247,1.9513,Western Europe
353,Italy,41.5621,12.991,Southern Europe
354,Denmark,55.8079,9.8499,Northern Europe
355,Switzerland,46.6373,8.1686,Central Europe
356,United Kingdom,55.0197,-3.2316,Western Europe
357,Germany,50.7518,10.3434,Central Europe
358,Austria,47.1135,14.3605,Central Europe
359,Austria,47.0465,14.5254,Central Europe
360,Poland,51.4903,18.9472,Central Europe
361,Belgium,50.7882,4.4053,Western Europe
362,United Kingdom,55.834,-3.8664,Western Europe
363,Sweden,59.6284,18.2902,Northern Europe
364,Denmark,56.1082,9.0911,Northern Europe
365,Norway,60.0032,8.4006,Northern Europe
366,Norway,60.8965,8.8089,Northern Europe
367,Norway,60.428,8.7578,Northern Europe
368,Portugal,39.3981,-7.9936,Southern Europe
369,Czech Republic,49.3976,15.7032,Central Europe
370,Denmark,56.1074,9.7803,Northern Europe
371,United Kingdom,54.9395,-3.4628,Western Europe
372,Portugal,39.1809,-7.8666,Southern Europe
373,Sweden,60.1556,18.1766,Northern Europe
374,Czech Republic,50.1593,15.0273,Central Europe
375,Italy,41.9023,12.5021,Southern Europe
376,United Kingdom,55.6804,-3.6807,Western Europe
377,Norway,60.04,8.3801,Northern Europe
378,France,46.4357,1.8337,Western Europe
379,Denmark,56.7591,9.7712,Northern Europe
380,Austria,47.0856,15.0295,Central Europe
381,France,45.798,2.4412,Western Europe
382,Switzerland,47.0258,8.4985,Central Europe
383,United Kingdom,55.2787,-3.3037,Western Europe
384,Spain,40.2626,-3.8591,Southern Europe
385,Poland,51.7271,19.179,Central Europe
386,Czech Republic,49.4591,15.6268,Central Europe
387,Norway,60.7895,8.0831,Northern Europe
388,Italy,41.7074,12.1881,Southern Europe
389,Denmark,56.2509,9.0081,Northern Europe
390,Belgium,50.2432,4.1444,Western Europe
391,Switzerland,47.295,8.3464,Central Europe
392,Poland,52.3421,18.6991,Central Europe
393,France,45.7985,1.949,Western Europe
394,Denmark,55.9846,9.4728,Northern Europe
395,United Kingdom,55.0803,-3.8088,Western Europe
396,Denmark,55.9338,9.9719,Northern Europe
397,Belgium,50.5834,4.8617,Western Europe
398,Norway,60.07,8.4642,Northern Europe
399,Italy,42.0752,12.9253,Southern Europe
400,Belgium,50.8973,4.3028,Western Europe
401,Belgium,50.3695,4.589,Western Europe
402,Netherlands,51.9853,5.0587,Western Europe
403,Netherlands,52.4325,5.7367,Western Europe
404,Norway,60.1763,8.921,Northern Europe
405,Germany,51.5375,10.1838,Central Europe
406,Sweden,59.8882,18.6277,Northern Europe
407,France,45.7688,2.0303,Western Europe
408,France,46.648,2.1183,Western Europe
409,Sweden,60.6089,18.7172,Northern Europe
410,Austria,47.3736,14.3765,Central Europe
411,Spain,40.4542,-3.646,Southern Europe
412,France,45.9433,2.6015,Western Europe
413,Netherlands,51.6987,5.7514,Western Europe
414,Austria,47.0584,14.8763,Central Europe
415,Poland,52.3121,19.0623,Central Europe
416,Poland,51.8954,19.3393,Central Europe
417,Germany,50.9384,10.371,Central Europe
418,Norway,60.2882,8.8139,Northern Europe
419,France,45.9455,2.2171,Western Europe
420,Czech Republic,49.6801,15.79,Central Europe
421,Spain,40.0939,-4.1706,Southern Europe
422,France,46.0292,1.724,Western Europe
423,Norway,60.4726,8.6975,Northern Europe
424,Norway,60.6798,8.3354,Northern Europe
425,France,46.1935,2.2334,Western Europe
426,Spain,40.5176,-3.9586,Southern Europe
427,Poland,51.5044,18.7885,Central Europe
428,Czech Republic,49.8166,15.7378,Central Europe
429,Austria,47.247,14.9925,Central Europe
430,Sweden,60.1481,18.6357,Northern Europe
431,Netherlands,52.4855,5.2339,Western Europe
432,Austria,47.6763,14.7355,Central Europe
433,Germany,50.6938,9.9966,Central Europe
434,Spain,40.1983,-3.9371,Southern Europe
435,Denmark,56.1851,9.0222,Northern Europe
436,Switzerland,47.1297,8.3949,Central Europe
437,Belgium,50.8085,4.5945,Western Europe
438,Norway,60.2738,8.773,Northern Europe
439,Spain,40.6245,-3.4253,Southern Europe
440,Czech Republic,50.0028,15.2733,Central Europe
441,France,45.8776,1.7414,Western Europe
442,Poland,51.9701,19.2894,Central Europe
443,Norway,60.1126,8.0808,Northern Europe
444,Spain,40.8992,-4.0312,Southern Europe
445,Belgium,50.4788,4.2162,Western Europe
446,Belgium,50.3132,4.9284,Western Europe
447,Denmark,56.2027,9.319,Northern Europe
448,Switzerland,46.3846,8.1484,Central Europe
449,Poland,51.7249,19.2209,Central Europe
450,France,46.1421,1.8956,Western Europe
451,Belgium,50.6043,4.1192,Western Europe
452,United Kingdom,55.6245,-3.5539,Western Europe
453,Austria,47.9235,14.4197,Central Europe
454,United Kingdom,54.9512,-3.379,Western Europe
455,Germany,51.2462,10.2118,Central Europe
456,Italy,41.8711,13.0408,Southern Europe
457,Sweden,60.5783,18.6992,Northern Europe
458,Denmark,56.6911,9.0426,Northern Europe
459,Czech Republic,49.8262,15.2458,Central Europe
460,Poland,52.4007,18.7671,Central Europe
461,Germany,50.9951,9.9953,Central Europe
462,Italy,41.612,12.8383,Southern Europe
463,Sweden,60.5499,19.0472,Northern Europe
464,Sweden,59.9964,18.3299,Northern Europe
465,Belgium,50.0831,4.7714,Western Europe
466,Belgium,50.0984,4.6308,Western Europe
467,Denmark,56.4683,9.3157,Northern Europe
468,France,45.7409,2.3695,Western Europe
469,Italy,41.507,12.2582,Southern Europe
470,Sweden,60.0916,18.6175,Northern Europe
471,Germany,50.7684,10.7991,Central Europe
472,Germany,51.194,10.3735,Central Europe
473,United Kingdom,55.6043,-3.4668,Western Europe
474,Portugal,39.1071,-8.0338,Southern Europe
475,Germany,51.665,10.3103,Central Europe
476,Austria,47.274,14.3904,Central Europe
477,Switzerland,46.4236,8.3574,Central Europe
478,Austria,47.9858,14.8193,Central Europe
479,Sweden,59.8564,18.9453,Northern Europe
480,Netherlands,52.0343,5.5637,Western Europe
481,Netherlands,52.5418,4.7992,Western Europe
482,France,45.7646,2.0482,Western Europe
483,Denmark,56.5605,9.5943,Northern Europe
484,Portugal,39.6368,-8.2714,Southern Europe
485,Switzerland,46.9006,8.5503,Central Europe
486,Netherlands,52.3094,5.1941,Western Europe
487,Italy,41.8567,12.5251,Southern Europe
488,France,45.8485,2.2855,Western Europe
489,Denmark,56.0474,9.1849,Northern Europe
490,Norway,60.5777,8.7309,Northern Europe
491,Germany,51.6238,10.8415,Central Europe
492,France,45.92,2.3324,Western Europe
493,Norway,60.8597,8.4131,Northern Europe
494,France,45.8422,1.813,Western Europe
495,Czech Republic,49.376,15.3629,Central Europe
496,Germany,50.984,10.5046,Central Europe
497,Belgium,50.4499,4.8162,Western Europe
498,Poland,52.3915,18.6456,Central Europe
499,Belgium,50.7023,4.8004,Western Europe
500,Netherlands,51.9742,5.2511,Western Europe
501,France,46.5149,2.3628,Western Europe
502,Netherlands,52.5688,5.2359,Western Europe
503,United Kingdom,55.3709,-3.232,Western Europe
504,Portugal,39.5721,-8.1215,Southern Europe
505,Switzerland,46.9327,8.4082,Central Europe
506,Switzerland,47.0772,8.6113,Central Europe
507,Czech Republic,49.7413,15.0474,Central Europe
508,France,46.2012,2.6725,Western Europe
509,Belgium,50.3172,4.8176,Western Europe
510,United Kingdom,55.728,-3.5343,Western Europe
511,Sweden,59.6542,18.6607,Northern Europe
512,Austria,47.7408,14.4947,Central Europe
513,Netherlands,51.9237,5.7616,Western Europe
514,Sweden,59.6966,18.3329,Northern Europe
515,Spain,40.8837,-3.6104,Southern Europe
516,Germany,50.7394,9.9815,Central Europe
517,Italy,41.7117,12.6219,Southern Europe
518,Spain,40.3333,-3.8768,Southern Europe
519,Belgium,50.9809,4.2144,Western Europe
520,Portugal,39.7857,-8.5153,Southern Europe
521,Czech Republic,49.6914,15.6675,Central Europe
522,Denmark,56.141,9.159,Northern Europe
523,Netherlands,52.0587,5.2589,Western Europe
524,Switzerland,46.8649,7.8057,Central Europe
525,Norway,60.2465,8.6745,Northern Europe
526,Sweden,60.5797,19.009,Northern Europe
527,Spain,40.4024,-3.3963,Southern Europe
528,Sweden,60.0316,18.9221,Northern Europe
529,Belgium,50.1922,4.0785,Western Europe
530,Spain,40.0332,-3.2862,Southern Europe
531,France,45.8567,2.1321,Western Europe
532,Switzerland,47.035,8.1865,Central Europe
533,United Kingdom,55.5244,-3.0171,Western Europe
534,France,46.1212,2.6594,Western Europe
535,Sweden,59.7334,18.91,Northern Europe
536,Germany,50.6764,10.0662,Central Europe
537,Norway,59.9901,8.0694,Northern Europe
538,Czech Republic,49.3519,15.648,Central Europe
539,Sweden,59.8299,18.3932,Northern Europe
540,Germany,51.0814,10.0592,Central Europe
541,Italy,41.3869,12.7214,Southern Europe
542,Austria,47.9993,14.1519,Central Europe
543,France,46.0627,2.3222,Western Europe
544,France,45.7875,2.0882,Western Europe
545,Switzerland,47.11,8.1424,Central Europe
546,Switzerland,46.6398,8.1699,Central Europe
547,France,46.1538,2.1808,Western Europe
548,Netherlands,52.0308,4.9591,Western Europe
549,Italy,41.6292,12.5311,Southern Europe
550,Norway,60.4727,8.6942,Northern Europe
551,Italy,41.5661,12.5037,Southern Europe
552,Denmark,56.577,9.6328,Northern Europe
553,Sweden,59.7205,18.8551,Northern Europe
554,Czech Republic,49.7291,15.8494,Central Europe
555,France,45.7974,2.41,Western Europe
556,Austria,47.5833,14.2627,Central Europe
557,Belgium,50.1286,4.0342,Western Europe
558,Switzerland,47.3051,8.4889,Central Europe
559,Netherlands,52.5057,5.5976,Western Europe
560,Poland,52.0783,19.1203,Central Europe
561,Portugal,39.6939,-8.3762,Southern Europe
562,Switzerland,47.3054,8.1943,Central Europe
563,Denmark,56.1474,9.2822,Northern Europe
564,Sweden,60.552,18.2082,Northern Europe
565,Czech Republic,49.9097,15.1612,Central Europe
566,Sweden,60.3075,18.9401,Northern Europe
567,Austria,47.1636,14.3335,Central Europe
568,Italy,42.1998,12.278,Southern Europe
569,Poland,51.8928,18.9934,Central Europe
570,Norway,60.9066,8.273,Northern Europe
571,Belgium,50.9543,4.397,Western Europe
572,France,45.9685,2.2023,Western Europe
573,France,45.8442,1.8358,Western Europe
574,Czech Republic,49.7512,15.5444,Central Europe
575,Norway,60.5567,8.6826,Northern Europe
576,Italy,41.947,12.72,Southern Europe
577,Spain,40.2643,-3.303,Southern Europe
578,Poland,52.2392,18.8822,Central Europe
579,United Kingdom,55.1388,-3.2862,Western Europe
580,Poland,51.612,19.0172,Central Europe
581,France,46.4116,2.1205,Western Europe
582,Sweden,60.5538,18.3192,Northern Europe
583,Netherlands,52.5791,5.1809,Western Europe
584,Portugal,39.6353,-8.6716,Southern Europe
585,United Kingdom,55.8307,-3.4154,Western Europe
586,Germany,50.7503,10.2374,Central Europe
587,Czech Republic,49.7425,15.5073,Central Europe
588,Netherlands,52.5851,5.214,Western Europe
589,Czech Republic,49.9487,15.3666,Central Europe
590,Netherlands,52.5228,4.9775,Western Europe
591,United Kingdom,55.1042,-3.5406,Western Europe
592,Germany,51.0249,10.822,Central Europe
593,France,46.1487,2.2638,Western Europe
594,Germany,51.344,10.2936,Central Europe
595,Sweden,59.7432,18.407,Northern Europe
596,United Kingdom,55.8685,-3.0069,Western Europe
597,Switzerland,46.7453,7.7792,Central Europe
598,Netherlands,51.8446,5.2634,Western Europe
599,Czech Republic,50.1275,15.7159,Central Europe
600,Denmark,56.6479,9.8192,Northern Europe
601,Czech Republic,49.57,15.8501,Central Europe
602,United Kingdom,54.9235,-3.3698,Western Europe
